"Jurisdiction","Year","Marriage diff.-sex","Marriage same-sex","Registered partnership diff.-sex","Registered partnership same-sex","Cohabitation diff.-sex","Cohabitation same-sex","Adoption for married diff. Adoption for married sex couples","Adoption for married same-sex couple","Adoption for registered partnership diff.-sex couples","Adoption for registered partenership same-sex","Adoption for diff.-sex couple that cohabiate","Adoption for same.-sex couple that cohabiate"
"UK: Scotland (w)",2002,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"UK: Scotland (w)",2001,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"UK: Scotland (w)",2000,"Yes","No","No","No","No but","No but","Yes","N/A","N/A","N/A","No","No"
"UK: Scotland (w)",1999,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"UK: Scotland (w)",1998,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"UK: Scotland (w)",1997,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"UK: Scotland (w)",1996,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"UK: Scotland (w)",1995,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"UK: Scotland (w)",1994,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"UK: Scotland (w)",1993,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"UK: Scotland (w)",1992,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"UK: Scotland (w)",1991,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"UK: Scotland (w)",1990,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
"UK: Scotland (w)",1989,"Yes","No","No","No","No but","No","Yes","N/A","N/A","N/A","No","No"
